epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.185,2.17374,4.14101,2.19755,0.00184,0.33301,0.05979,0.01938,2.3701,4.94543,2.77053,0.000466807,0.000466807,0.000466807
2,432.113,2.17688,3.89658,2.17653,0.67415,0.01754,0.0043,0.00127,2.5191,5.26397,2.67904,0.000896455,0.000896455,0.000896455
3,639.336,2.13755,3.74796,2.13454,0.00656,0.24466,0.00574,0.00145,2.75011,5.2042,2.92016,0.00127895,0.00127895,0.00127895
4,849.96,2.2005,3.76755,2.22054,0.3564,0.10526,0.02122,0.00426,2.73492,4.83457,3.06671,0.00121679,0.00121679,0.00121679
5,1060.66,2.2145,3.7181,2.27061,0.74461,0.07018,0.05626,0.02616,2.5105,5.03486,2.52396,0.00114606,0.00114606,0.00114606
6,1274.77,2.08465,3.5329,2.17363,0.02703,0.15311,0.03944,0.01222,2.4635,5.42171,2.63098,0.00107532,0.00107532,0.00107532
7,1492.92,2.07882,3.31351,2.14189,0.43295,0.13796,0.09738,0.02624,2.3321,4.97611,2.54561,0.00100459,0.00100459,0.00100459
8,1710.7,2.08807,3.26384,2.12504,0.16202,0.21738,0.10504,0.02393,2.47544,4.16489,2.55501,0.000933851,0.000933851,0.000933851
9,1932.18,2.06357,3.07148,2.08685,0.09126,0.13557,0.08198,0.03098,2.3412,4.62517,2.54826,0.000863116,0.000863116,0.000863116
10,2153.27,2.04502,3.06531,2.12286,0.60222,0.10287,0.09179,0.0395,2.57372,3.82711,2.59117,0.00079238,0.00079238,0.00079238
11,2375.87,2.07521,3.26472,2.18609,0.1546,0.27002,0.09611,0.04342,2.52099,4.40383,2.64357,0.000721645,0.000721645,0.000721645
12,2596.82,2.00613,2.97532,2.13156,0.57109,0.18622,0.16464,0.06107,2.37619,4.00444,2.4436,0.000650909,0.000650909,0.000650909
13,2815.36,1.93927,2.81131,2.08889,0.59786,0.15327,0.18028,0.06331,2.32838,3.50074,2.43905,0.000580174,0.000580174,0.000580174
14,3034.92,1.88454,2.73011,2.0478,0.31073,0.21914,0.19318,0.07179,2.20064,3.30802,2.45351,0.000509438,0.000509438,0.000509438
15,3255.2,1.84565,2.57496,1.97746,0.25479,0.23493,0.16289,0.06927,2.09193,3.24015,2.35727,0.000438703,0.000438703,0.000438703
16,3404.01,1.77983,2.46851,1.92728,0.72972,0.15311,0.24578,0.10172,2.25048,3.18483,2.35931,0.000367967,0.000367967,0.000367967
17,3526.85,1.77656,2.39768,1.91569,0.41152,0.20854,0.21783,0.09849,2.2608,3.22049,2.32105,0.000297232,0.000297232,0.000297232
18,3648.1,1.6745,2.28381,1.85214,0.46954,0.19698,0.19701,0.0893,2.31091,3.2336,2.40621,0.000226497,0.000226497,0.000226497
19,3770.26,1.61646,2.19306,1.79801,0.3618,0.23254,0.23932,0.11524,2.2901,3.07732,2.414,0.000155761,0.000155761,0.000155761
20,3893.45,1.64721,2.14644,1.82064,0.71925,0.2193,0.26411,0.12075,2.26785,3.07458,2.38447,8.50255e-05,8.50255e-05,8.50255e-05
